station_id,station_name,latitude,longitude,city,zone,capacity_kw,operator,status,install_date
1,Station_1,15.201505184098082,71.18565935726714,Vijayawada,North,67,ChargeZone,Active,2024-01-01
2,Station_2,15.5342311116555,70.61564660385642,Guntur,South,56,ChargeZone,Active,2024-01-02
3,Station_3,17.00178951809313,74.54190392415066,Vijayawada,East,134,Tata Power,Inactive,2024-01-03
4,Station_4,19.09758310543693,72.57708338605448,Hyderabad,South,216,Tata Power,Active,2024-01-04
5,Station_5,19.372786058609258,72.00579074033912,Vijayawada,East,167,ChargeZone,Active,2024-01-05
6,Station_6,17.73012611589381,76.58327803800348,Vijayawada,South,145,Zeon,Active,2024-01-06
7,Station_7,19.42466631755427,77.58752596306114,Vijayawada,South,189,Tata Power,Inactive,2024-01-07
8,Station_8,16.04198521822282,70.90717666937711,Vijayawada,West,99,Tata Power,Active,2024-01-08
9,Station_9,19.98182237101804,77.7682396689879,Guntur,West,189,Tata Power,Active,2024-01-09
10,Station_10,17.28510999166477,79.91086435831393,Hyderabad,East,249,ChargeZone,Active,2024-01-10
